,B23409,B00367,B13847,B15553,B10749,B03605,B17517,B05851,B12869,B20167,B18365,B21754,B21401,B21937,B21046,B18646,B11920,B20159,B07325,B21967
40721,15.55482,44.90196,14.19779,13.60572,32.17728,24.71246,11.83962,37.72827,13.80248,92.48564,63.60699,35.9503,74.65726,15.14042,31.47566,15.98419,27.43158,107.41912,32.85617,41.79152
40722,15.72193,44.73123,14.41538,13.7815,32.55545,25.02109,11.96727,37.674,13.93791,89.90002,64.25041,35.91768,75.78535,15.32662,31.88092,16.29238,27.43781,108.51524,33.3344,42.189
40723,15.82478,44.69708,14.46978,13.88698,32.83496,25.46199,12.19066,37.61972,14.05077,88.8061,64.66404,35.91873,76.52327,15.443,31.97098,16.36243,27.50581,109.42867,33.83849,42.58647
40724,15.96618,44.68001,14.60577,14.01588,33.16381,25.72653,12.36618,37.56545,14.15234,87.41385,65.10065,35.92861,77.08307,15.59429,32.3012,16.51653,27.57343,109.61135,34.21333,43.17322
40725,16.12045,44.66294,14.86416,14.22683,33.57486,26.01312,12.49383,37.5496,14.29906,86.61827,65.81301,35.92962,78.27901,15.80376,32.78151,16.76869,27.65257,109.97672,34.57523,43.77889
40726,16.12045,44.66294,14.86416,14.22683,33.57486,26.01312,12.49383,37.5496,14.29906,86.61827,65.81301,35.92962,78.27901,15.80376,32.78151,16.76869,27.65257,109.97672,34.57523,43.77889
40727,16.12045,44.66294,14.86416,14.22683,33.57486,26.01312,12.49383,37.5496,14.29906,86.61827,65.81301,35.92962,78.27901,15.80376,32.78151,16.76869,27.65257,109.97672,34.57523,43.77889
40728,16.12045,44.66294,14.86416,14.22683,33.57486,26.01312,12.49383,37.5496,14.29906,86.61827,65.81301,35.92962,78.27901,15.80376,32.78151,16.76869,27.65257,109.97672,34.57523,43.77889
40729,16.1333,44.76537,14.89136,14.20339,33.45977,25.96903,12.43001,37.56372,14.29906,86.12104,65.56024,35.96435,77.7701,15.78049,32.72147,16.83873,27.65706,109.52001,34.53646,43.93031
40730,16.1333,44.81659,14.89136,14.23854,33.44332,25.81471,12.35023,37.56725,14.28777,86.31993,65.58322,35.96538,77.78706,15.82704,32.84155,16.88076,27.66155,108.88061,34.17455,43.68426
40731,16.249,44.73123,15.09535,14.37917,33.75572,26.05721,12.44597,37.53202,14.37806,85.22601,66.04281,35.9327,78.61829,15.97832,33.30686,17.1049,27.72947,109.15464,34.36843,44.10066
40732,16.17187,44.9361,15.01376,14.29714,33.50909,25.77062,12.33427,37.5937,14.32163,85.72325,65.56024,36.00111,77.83796,15.88522,33.12674,17.02085,27.74353,107.32778,34.01945,43.8546
40733,16.17187,44.9361,15.01376,14.29714,33.50909,25.77062,12.33427,37.5937,14.32163,85.72325,65.56024,36.00111,77.83796,15.88522,33.12674,17.02085,27.74353,107.32778,34.01945,43.8546
40734,16.17187,44.9361,15.01376,14.29714,33.50909,25.77062,12.33427,37.5937,14.32163,85.72325,65.56024,36.00111,77.83796,15.88522,33.12674,17.02085,27.74353,107.32778,34.01945,43.8546
40735,15.90191,45.02147,14.74177,14.03932,32.88429,25.02109,11.98323,37.66243,14.06206,87.51329,64.25041,36.0021,75.9465,15.60592,32.58639,16.58657,27.5598,105.31824,32.92079,42.79467
40736,15.82478,45.0044,14.68737,13.99245,32.71987,24.91087,11.88749,37.76287,13.99434,87.81163,64.08956,36.00311,75.91258,15.52446,32.4513,16.46049,27.50174,104.77018,32.67521,42.26471
40737,15.91476,45.0044,14.76897,14.03932,32.83496,25.37381,12.07897,37.76646,14.08463,87.11551,64.41127,36.00413,76.01436,15.57101,32.6014,16.6286,27.56943,104.40481,33.20515,42.85145
40738,15.82478,44.97025,14.64657,13.94557,32.70343,25.2195,11.99919,37.78942,13.98305,87.71219,63.99764,36.00516,75.24251,15.48955,32.1511,16.34842,27.57388,106.23167,32.95957,42.71896
40739,15.8762,45.0044,14.64657,14.01588,32.7692,25.24154,12.0311,37.793,14.05077,85.22601,64.25041,35.97226,75.31885,15.54774,32.34623,16.44648,27.58715,106.04898,33.01127,42.92716
40740,15.8762,45.0044,14.64657,14.01588,32.7692,25.24154,12.0311,37.793,14.05077,85.22601,64.25041,35.97226,75.31885,15.54774,32.34623,16.44648,27.58715,106.04898,33.01127,42.92716
40741,15.8762,45.0044,14.64657,14.01588,32.7692,25.24154,12.0311,37.793,14.05077,85.22601,64.25041,35.97226,75.31885,15.54774,32.34623,16.44648,27.58715,106.04898,33.01127,42.92716
40742,15.7605,45.0044,14.48338,13.91041,32.45679,24.84473,11.82367,37.80373,13.92663,85.72325,63.58401,35.97329,74.29254,15.43136,32.04603,16.23635,27.46524,107.41912,32.365,42.3972
40743,15.95333,44.98732,14.75537,14.13307,32.93362,25.19745,11.98323,37.80731,14.08463,84.1321,64.15849,35.97433,75.25947,15.65247,32.63142,16.58657,27.53269,104.40481,32.71399,42.90824
